title,price,currency,image_url,url,url_tracked,keyword,seller_feedback,top_rated,source,inserted_at,signals_text
"12"" RGB Jellyfish Lamp with USB Black - West & Arrow: LED,",16.14,USD,https://i.ebayimg.com/images/g/SQIAAeSw61Joxn4M/s-l225.jpg,https://www.ebay.com/itm/205721100618?_skw=rgb+lamp&hash=item2fe5eee14a%3Ag%3ASQIAAeSw61Joxn4M&mkcid=1&mkrid=711-53200-19255-0&mkevt=1&campid=5339121799&customid=rgb_lamp&toolid=10001,https://www.ebay.com/itm/205721100618?_skw=rgb+lamp&hash=item2fe5eee14a%3Ag%3ASQIAAeSw61Joxn4M&mkcid=1&mkrid=711-53200-19255-0&mkevt=1&campid=5339121799&customid=PDF&toolid=10001,rgb lamp,599275,False,ebay,2025-09-14T20:02:12.186339+00:00,
Logitech POP Keys Wireless Mechanical Keyboard for Windows/macOS/iPadOS/Android,39.99,USD,https://i.ebayimg.com/images/g/R9MAAOSwPAVmWOIN/s-l225.jpg,https://www.ebay.com/itm/355754892121?_skw=mechanical+keyboard&hash=item52d4a4db59%3Ag%3AR9MAAOSwPAVmWOIN&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5Ub0ZSwTuokAZtff%2FwIYUKk9I0SPQVfUOmQ4NxZ%2Fe3e2Pry9WWYBvm6VOl5TshuBPa5wWgdKDsZ%2FdD2K2yc8CSC4fsl1X0vLSJHV%2FVl7lAr57RxJ9u%2B8OvUHF0%2F2R7v5uQ3jq8euzUe%2BCFf6cToCANulR6QHGOf%2BjIrV8S61tReYLiQSwOCONjOtGpSAmhhlqwM0UwW3C3uddJTQanUxvzoWI9lUeiuaNOzQY4J3SC90FneBBPF9qCISK1tYwO3BqsrfDAj962pd9kiD34ifx%2F646R94Wm5ddRt6kwNrM2eF9Q%3D%3D&mkcid=1&mkrid=711-53200-19255-0&mkevt=1&campid=5339121799&customid=mechanical_keyboard&toolid=10001,https://www.ebay.com/itm/355754892121?_skw=mechanical+keyboard&hash=item52d4a4db59%3Ag%3AR9MAAOSwPAVmWOIN&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5Ub0ZSwTuokAZtff%2FwIYUKk9I0SPQVfUOmQ4NxZ%2Fe3e2Pry9WWYBvm6VOl5TshuBPa5wWgdKDsZ%2FdD2K2yc8CSC4fsl1X0vLSJHV%2FVl7lAr57RxJ9u%2B8OvUHF0%2F2R7v5uQ3jq8euzUe%2BCFf6cToCANulR6QHGOf%2BjIrV8S61tReYLiQSwOCONjOtGpSAmhhlqwM0UwW3C3uddJTQanUxvzoWI9lUeiuaNOzQY4J3SC90FneBBPF9qCISK1tYwO3BqsrfDAj962pd9kiD34ifx%2F646R94Wm5ddRt6kwNrM2eF9Q%3D%3D&mkcid=1&mkrid=711-53200-19255-0&mkevt=1&campid=5339121799&customid=PDF&toolid=10001,mechanical keyboard,451467,False,ebay,2025-09-15T20:02:36.862336+00:00,
30W Wireless Phone Charger Pad Dock Fast Charge for Samsung iPhone LG Universal,13.99,USD,https://i.ebayimg.com/images/g/QA4AAOSwhh1lvX81/s-l225.jpg,https://www.ebay.com/itm/225861966477?_skw=wireless+charger&hash=item34966c1a8d%3Ag%3AQA4AAOSwhh1lvX81&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UZ%2Fx2M5Jrn5OAGPpjGJpUNwkjR%2BTKP%2FV4UxGM%2BfV%2B26wmCYJz6UlfEj2bjyIbA4mFlb1l2vQIFimm2VuSN6vPvqlHRCBShgkSqgBHZrSTirO2h%2FyhCazL%2FhJiTAmlerwEVjCZU6tzNHbF%2BU0CVQPxcVVgNwZMQOGVqQ%2FNGFdMVRz9UKUvozRZRpRQZ7y3vy1jsmF6nthCrhNZvzdcZgo%2BnaAdkBBuV%2B6cfu6qZH3Bhysn%2B6sl1XCm3GxVVB743KeRZ3tRHf2h1ykxa9BYaF0bW4MZmykFsRGiOyYC%2BVTXczEw%3D%3D&mkcid=1&mkrid=711-53200-19255-0&mkevt=1&campid=5339121799&customid=wireless_charger&toolid=10001,https://www.ebay.com/itm/225861966477?_skw=wireless+charger&hash=item34966c1a8d%3Ag%3AQA4AAOSwhh1lvX81&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UZ%2Fx2M5Jrn5OAGPpjGJpUNwkjR%2BTKP%2FV4UxGM%2BfV%2B26wmCYJz6UlfEj2bjyIbA4mFlb1l2vQIFimm2VuSN6vPvqlHRCBShgkSqgBHZrSTirO2h%2FyhCazL%2FhJiTAmlerwEVjCZU6tzNHbF%2BU0CVQPxcVVgNwZMQOGVqQ%2FNGFdMVRz9UKUvozRZRpRQZ7y3vy1jsmF6nthCrhNZvzdcZgo%2BnaAdkBBuV%2B6cfu6qZH3Bhysn%2B6sl1XCm3GxVVB743KeRZ3tRHf2h1ykxa9BYaF0bW4MZmykFsRGiOyYC%2BVTXczEw%3D%3D&mkcid=1&mkrid=711-53200-19255-0&mkevt=1&campid=5339121799&customid=PDF&toolid=10001,wireless charger,289747,False,ebay,2025-09-16T03:22:06.966349+00:00,
2 PACK Magnetic Wireless Charger Pad For Magsafe iPhone 16 15 14 13 12 Pro Max,11.74,USD,https://i.ebayimg.com/images/g/98gAAOSwXvJn9ZeJ/s-l225.jpg,https://www.ebay.com/itm/205404904768?_skw=wireless+charger&hash=item2fd3161d40%3Ag%3A98gAAOSwXvJn9ZeJ&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UbpGw5eit%2FMlQhM1rxA57LkwS0SOMISPcgSO%2Fr9Udto2h0bBXa3ykr%2FN0ccZiok3CPqro8CntsEoXw1lqbFQ0jQ1cK1fVIaOCjjFGPVbiXWQySpaM5khcBmLnMUO42tVgz7YcVk7uzKhRUJdH17XFJmaqLoCBr1VU8okPvBYlj7MsfMuf8LueWA8TFLzxsxuzNjcSrdNzC7UHq--CQxQ9HG5ynY%2BJhLDMM4FhDb5s8BcLjvBY4%2FpQb48nJn3jxiPVwynAqBQInkuGiPXKOkMQPjekH6l5XYAv6myF7yvHylmw%3D%3D&mkcid=1&mkrid=711-53200-19255-0&mkevt=1&campid=5339121799&customid=wireless_charger&toolid=10001,https://www.ebay.com/itm/205404904768?_skw=wireless+charger&hash=item2fd3161d40%3Ag%3A98gAAOSwXvJn9ZeJ&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UbpGw5eit%2FMlQhM1rxA57LkwS0SOMISPcgSO%2Fr9Udto2h0bBXa3ykr%2FN0ccZiok3CPqro8CntsEoXw1lqbFQ0jQ1cK1fVIaOCjjFGPVbiXWQySpaM5khcBmLnMUO42tVgz7YcVk7uzKhRUJdH17XFJmaqLoCBr1VU8okPvBYlj7MsfMuf8LueWA8TFLzxsxuzNjcSrdNzC7UHq--CQxQ9HG5ynY%2BJhLDMM4FhDb5s8BcLjvBY4%2FpQb48nJn3jxiPVwynAqBQInkuGiPXKOkMQPjekH6l5XYAv6myF7yvHylmw%3D%3D&mkcid=1&mkrid=711-53200-19255-0&mkevt=1&campid=5339121799&customid=PDF&toolid=10001,wireless charger,238024,False,ebay,2025-09-16T03:22:06.966349+00:00,
2 Pack Wireless Fast Charger Stand Dock Cradle for Apple iPhone Samsung Galaxy,16.99,USD,https://i.ebayimg.com/images/g/czoAAOSwrN9nL9xJ/s-l225.jpg,https://www.ebay.com/itm/146177925564?_skw=wireless+charger&hash=item2208e221bc%3Ag%3AczoAAOSwrN9nL9xJ&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5Uaz11B%2FC5gQbr7dr5%2BA%2B51LOQHXnq1HON8bxVHt6mQcJbNfhpr3zKKcxYdU6ToqfT0NkSXgNnioBusqTTZ%2Bt3LN9NPAZsP9WslpfADmHvA8Sj%2F%2BqI1SCGpP3%2F%2BxlTOsnLOqSl9gH8giojVQRnV7rGxdYvLdZYJGtVjiAWM0QUrRPKU1joxc951s%2BrxuvS%2B70RWV3V%2BGYFsYSw6YfnhhTX410QIyYzyeeI%2BM0RrLQNdgOQY%2B5a1%2F3stVQ8V1rZEg4GYcNQo9KcPmP%2BRiYBovfhvpShVxdmAsdCV1xHy18UqX0g%3D%3D&mkcid=1&mkrid=711-53200-19255-0&mkevt=1&campid=5339121799&customid=wireless_charger&toolid=10001,https://www.ebay.com/itm/146177925564?_skw=wireless+charger&hash=item2208e221bc%3Ag%3AczoAAOSwrN9nL9xJ&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5Uaz11B%2FC5gQbr7dr5%2BA%2B51LOQHXnq1HON8bxVHt6mQcJbNfhpr3zKKcxYdU6ToqfT0NkSXgNnioBusqTTZ%2Bt3LN9NPAZsP9WslpfADmHvA8Sj%2F%2BqI1SCGpP3%2F%2BxlTOsnLOqSl9gH8giojVQRnV7rGxdYvLdZYJGtVjiAWM0QUrRPKU1joxc951s%2BrxuvS%2B70RWV3V%2BGYFsYSw6YfnhhTX410QIyYzyeeI%2BM0RrLQNdgOQY%2B5a1%2F3stVQ8V1rZEg4GYcNQo9KcPmP%2BRiYBovfhvpShVxdmAsdCV1xHy18UqX0g%3D%3D&mkcid=1&mkrid=711-53200-19255-0&mkevt=1&campid=5339121799&customid=PDF&toolid=10001,wireless charger,237962,False,ebay,2025-09-15T00:41:33.432341+00:00,
Govee H61E6 COB Strip Light Pro WiFi Enabled RGBICW Smart LED New Open Box ,63.6,USD,https://i.ebayimg.com/images/g/FZwAAeSwRmpoRwOk/s-l225.jpg,https://www.ebay.com/itm/396723151813?_skw=smart+light+strip&hash=item5c5e8ae3c5%3Ag%3AFZwAAeSwRmpoRwOk&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UZc2hq1052UdWzFY2Z0U2iiX9wpxjOCanRFZyCHngYxLAV7N11QYKw9TdDfJ5veh3qWjsFnro8EQFaFJ%2FHQpiVUPQN1q6x6%2Bt9bA4KEcENXZvL7fG48z0%2BdnN4AUOnItnxJAZ1YuomB3xkwmOM6hI6htqtQk%2FbPu%2Fiim%2BcVeyxlhzI7QVE3Mqx7KcJB2c%2BCDb3WdbQQUYyMS%2B5Iw0td6m6VKvb8TTLsegtFVlsYcJDniJVNloPzN5YOgW4k%2FpGeNaHPMA9wx9DybA%2FrtGcG317s6PDAadgKEntcSa9Dl3GfPg%3D%3D&mkcid=1&mkrid=711-53200-19255-0&mkevt=1&campid=5339121799&customid=smart_light_strip&toolid=10001,https://www.ebay.com/itm/396723151813?_skw=smart+light+strip&hash=item5c5e8ae3c5%3Ag%3AFZwAAeSwRmpoRwOk&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UZc2hq1052UdWzFY2Z0U2iiX9wpxjOCanRFZyCHngYxLAV7N11QYKw9TdDfJ5veh3qWjsFnro8EQFaFJ%2FHQpiVUPQN1q6x6%2Bt9bA4KEcENXZvL7fG48z0%2BdnN4AUOnItnxJAZ1YuomB3xkwmOM6hI6htqtQk%2FbPu%2Fiim%2BcVeyxlhzI7QVE3Mqx7KcJB2c%2BCDb3WdbQQUYyMS%2B5Iw0td6m6VKvb8TTLsegtFVlsYcJDniJVNloPzN5YOgW4k%2FpGeNaHPMA9wx9DybA%2FrtGcG317s6PDAadgKEntcSa9Dl3GfPg%3D%3D&mkcid=1&mkrid=711-53200-19255-0&mkevt=1&campid=5339121799&customid=PDF&toolid=10001,smart light strip,201697,False,ebay,2025-09-15T22:02:07.481419+00:00,
Wireless Fast Charger Charging Pad Dock for Samsung iPhone Android Cell Phone,5.88,USD,https://i.ebayimg.com/images/g/DOoAAOSwIaNl92Yd/s-l225.jpg,https://www.ebay.com/itm/203449767098?_skw=wireless+charger&hash=item2f5e8d14ba%3Ag%3ADOoAAOSwIaNl92Yd&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UZq%2BNIJQ%2BTPTo6iyM%2Bt5L4BH4%2BFFmnxYsy%2FZ5GTwhaalRIkMiPKjqZdEXEuLKktuecUaRLXgYoL0TDQcp86Q3luVd42qqqyEBixn%2BF7ArfjPACtJufdC%2Bw6n38HxXGdRFuY0VPZJYu%2BMxcKDrPiIYf%2FoVDcAE53rm5elClORKFs5EWN4qmEUgrb%2BhR%2FVp7Blp9D09K20%2F%2Bcy1VuYfxYFjim%2FCgOUJuejsV%2Fwau3dFeLuvrDrRyBXnjPtqFDuJ2lU3ZQqy4CW4Zy7dM80I%2BIO8yTY0SMAHVIjcznl5vCRzF36A%3D%3D&mkcid=1&mkrid=711-53200-19255-0&mkevt=1&campid=5339121799&customid=wireless_charger&toolid=10001,https://www.ebay.com/itm/203449767098?_skw=wireless+charger&hash=item2f5e8d14ba%3Ag%3ADOoAAOSwIaNl92Yd&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UZq%2BNIJQ%2BTPTo6iyM%2Bt5L4BH4%2BFFmnxYsy%2FZ5GTwhaalRIkMiPKjqZdEXEuLKktuecUaRLXgYoL0TDQcp86Q3luVd42qqqyEBixn%2BF7ArfjPACtJufdC%2Bw6n38HxXGdRFuY0VPZJYu%2BMxcKDrPiIYf%2FoVDcAE53rm5elClORKFs5EWN4qmEUgrb%2BhR%2FVp7Blp9D09K20%2F%2Bcy1VuYfxYFjim%2FCgOUJuejsV%2Fwau3dFeLuvrDrRyBXnjPtqFDuJ2lU3ZQqy4CW4Zy7dM80I%2BIO8yTY0SMAHVIjcznl5vCRzF36A%3D%3D&mkcid=1&mkrid=711-53200-19255-0&mkevt=1&campid=5339121799&customid=PDF&toolid=10001,wireless charger,179247,False,ebay,2025-09-16T03:22:06.966349+00:00,
"Led Desk Lamp with Clamp, 24W Desk Lamps for Home Office with Touch Function",39.99,USD,https://i.ebayimg.com/images/g/VZcAAeSwRYdoi7Ji/s-l225.jpg,https://www.ebay.com/itm/226635020255?_skw=desk+lamp&hash=item34c47ff7df%3Ag%3AVZcAAeSwRYdoi7Ji&amdata=enc%3AAQAKAAAA4PeG5RIuIyokJHJy903%2F5UaFXdCgm6BIgTaPXzAb%2FAEpuA1zrRrrMEjm0xcXdPy8c5G5rW3nRtQZYuD%2FL%2BIcJa%2FfF2MoMbXPb6zphtiskssH9Md2zb%2Fpb4vjKngJuory4R1z7kf%2F1mLZMk0s1iRtTWR%2BVhHoXQ06bPKIe6zHzxrC7BT8D2v0BEE%2Bd2Lz%2BzrCf%2BvMmoOM3WWxZqddn6004QfXPaFxW4uQ5065cmgMzssUewCGzzsOj49WDqMm8xIQF6HNK51dctpebzVIQIcIFYHHorfJVTvaZIgD10V73bUQ&mkcid=1&mkrid=711-53200-19255-0&mkevt=1&campid=5339121799&customid=desk_lamp&toolid=10001,https://www.ebay.com/itm/226635020255?_skw=desk+lamp&hash=item34c47ff7df%3Ag%3AVZcAAeSwRYdoi7Ji&amdata=enc%3AAQAKAAAA4PeG5RIuIyokJHJy903%2F5UaFXdCgm6BIgTaPXzAb%2FAEpuA1zrRrrMEjm0xcXdPy8c5G5rW3nRtQZYuD%2FL%2BIcJa%2FfF2MoMbXPb6zphtiskssH9Md2zb%2Fpb4vjKngJuory4R1z7kf%2F1mLZMk0s1iRtTWR%2BVhHoXQ06bPKIe6zHzxrC7BT8D2v0BEE%2Bd2Lz%2BzrCf%2BvMmoOM3WWxZqddn6004QfXPaFxW4uQ5065cmgMzssUewCGzzsOj49WDqMm8xIQF6HNK51dctpebzVIQIcIFYHHorfJVTvaZIgD10V73bUQ&mkcid=1&mkrid=711-53200-19255-0&mkevt=1&campid=5339121799&customid=PDF&toolid=10001,desk lamp,94666,False,ebay,2025-09-15T23:02:07.646098+00:00,
"Milwaukee 0880-20 M18 18 Volt  Cordless Wet/Dry Vacuum, Tool Only,",99.0,USD,https://i.ebayimg.com/images/g/hKkAAeSwaU9oh~LX/s-l225.jpg,https://www.ebay.com/itm/365149263338?_skw=cordless+vacuum&hash=item55049795ea%3Ag%3AhKkAAeSwaU9oh~LX&mkcid=1&mkrid=711-53200-19255-0&mkevt=1&campid=5339121799&customid=cordless_vacuum&toolid=10001,https://www.ebay.com/itm/365149263338?_skw=cordless+vacuum&hash=item55049795ea%3Ag%3AhKkAAeSwaU9oh~LX&mkcid=1&mkrid=711-53200-19255-0&mkevt=1&campid=5339121799&customid=PDF&toolid=10001,cordless vacuum,57685,False,ebay,2025-09-15T18:02:07.027852+00:00,
eufy Permanent Outdoor Light E22 100ft Smart Light Strip App Control IP67|Refurb,95.99,USD,https://i.ebayimg.com/images/g/5Y8AAOSw6oBnrBYm/s-l225.jpg,https://www.ebay.com/itm/384708438760?_skw=smart+light+strip&hash=item599268eae8%3Ag%3A5Y8AAOSw6oBnrBYm&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UY8yA9rW4Ql%2BJ7xrC%2BJ0biHokSpkevaKXP4LYB9SHYUGVDWXWVh4xYOftqCLIfJ899EUREVpXwDPqPyKzpGOK38oYPByyvtXKjSRZpoBK6HAzx%2BHfkLNIcgFbxef3lV8HI3VaOa3ymomYqYjAtWABTTx%2FZF1zVLUtTM%2BM3H%2FO4XLMGbdELRWtiAaV%2B5tP1AUVdXdZBuCSs4kTZDIIMhSXUPL9GU84VUNWCfNdHY3Fg8emV4rB%2FiRfMkjVS01Lk85hACUB9iSFnd9e3KwQJgOZvJtGhX6p94Bs%2BL7a4O1EC1Cw%3D%3D&mkcid=1&mkrid=711-53200-19255-0&mkevt=1&campid=5339121799&customid=smart_light_strip&toolid=10001,https://www.ebay.com/itm/384708438760?_skw=smart+light+strip&hash=item599268eae8%3Ag%3A5Y8AAOSw6oBnrBYm&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UY8yA9rW4Ql%2BJ7xrC%2BJ0biHokSpkevaKXP4LYB9SHYUGVDWXWVh4xYOftqCLIfJ899EUREVpXwDPqPyKzpGOK38oYPByyvtXKjSRZpoBK6HAzx%2BHfkLNIcgFbxef3lV8HI3VaOa3ymomYqYjAtWABTTx%2FZF1zVLUtTM%2BM3H%2FO4XLMGbdELRWtiAaV%2B5tP1AUVdXdZBuCSs4kTZDIIMhSXUPL9GU84VUNWCfNdHY3Fg8emV4rB%2FiRfMkjVS01Lk85hACUB9iSFnd9e3KwQJgOZvJtGhX6p94Bs%2BL7a4O1EC1Cw%3D%3D&mkcid=1&mkrid=711-53200-19255-0&mkevt=1&campid=5339121799&customid=PDF&toolid=10001,smart light strip,54767,False,ebay,2025-09-15T22:02:07.481419+00:00,
